Scenario,EBT_Vol,Green_Splits,EBT_MaxGreen,NBT_MaxGreen,Passage_time,Memory,recall,detector_config,NBT_vol
1,400,13-13,30,30,0,Non-Locking,No_recall,60ft,400
2,400,13-13,30,30,0.5,Non-Locking,No_recall,60ft,400
3,400,13-13,30,30,1,Non-Locking,No_recall,60ft,400
4,400,13-13,30,30,1.5,Non-Locking,No_recall,60ft,400
5,400,13-13,30,30,2,Non-Locking,No_recall,60ft,400
6,400,13-13,30,30,3,Non-Locking,No_recall,60ft,400
7,400,13-13,30,30,4,Non-Locking,No_recall,60ft,400
8,400,13-13,30,30,5,Non-Locking,No_recall,60ft,400
9,800,30-15,30,30,0,Non-Locking,No_recall,60ft,400
10,800,30-15,30,30,0.5,Non-Locking,No_recall,60ft,400
11,800,30-15,30,30,1,Non-Locking,No_recall,60ft,400
12,800,30-15,30,30,1.5,Non-Locking,No_recall,60ft,400
13,800,30-15,30,30,2,Non-Locking,No_recall,60ft,400
14,800,30-15,30,30,3,Non-Locking,No_recall,60ft,400
15,800,30-15,30,30,4,Non-Locking,No_recall,60ft,400
16,800,30-15,30,30,5,Non-Locking,No_recall,60ft,400
17,1200,68-22,70,30,0,Non-Locking,No_recall,60ft,400
18,1200,68-22,70,30,0.5,Non-Locking,No_recall,60ft,400
19,1200,68-22,70,30,1,Non-Locking,No_recall,60ft,400
20,1200,68-22,70,30,1.5,Non-Locking,No_recall,60ft,400
21,1200,68-22,70,30,2,Non-Locking,No_recall,60ft,400
22,1200,68-22,70,30,3,Non-Locking,No_recall,60ft,400
23,1200,68-22,70,30,4,Non-Locking,No_recall,60ft,400
24,1200,68-22,70,30,5,Non-Locking,No_recall,60ft,400
