S.No,Det Type,Num Ln,EBT Vol Ln1,EBT Vol Ln2,Ln Dist,NBT vol,Per Trucks,Passage Time,MaxGr6,MaxGr4
1,Induction Loop,2,400,400,50,400,5,0,30,30
2,Induction Loop,2,400,400,50,400,5,0.5,30,30
3,Induction Loop,2,400,400,50,400,5,1,30,30
4,Induction Loop,2,400,400,50,400,5,1.5,30,30
5,Induction Loop,2,400,400,50,400,5,2,30,30
6,Induction Loop,2,400,400,50,400,5,3,30,30
7,Induction Loop,2,400,400,50,400,5,4,30,30
8,Induction Loop,2,400,400,50,400,5,5,30,30
9,Induction Loop,2,800,800,50,400,5,0,30,30
10,Induction Loop,2,800,800,50,400,5,0.5,30,30
11,Induction Loop,2,800,800,50,400,5,1,30,30
12,Induction Loop,2,800,800,50,400,5,1.5,30,30
13,Induction Loop,2,800,800,50,400,5,2,30,30
14,Induction Loop,2,800,800,50,400,5,3,30,30
15,Induction Loop,2,800,800,50,400,5,4,30,30
16,Induction Loop,2,800,800,50,400,5,5,30,30
17,Induction Loop,2,1200,1200,50,400,5,0,70,30
18,Induction Loop,2,1200,1200,50,400,5,0.5,70,30
19,Induction Loop,2,1200,1200,50,400,5,1,70,30
20,Induction Loop,2,1200,1200,50,400,5,1.5,70,30
21,Induction Loop,2,1200,1200,50,400,5,2,70,30
22,Induction Loop,2,1200,1200,50,400,5,3,70,30
23,Induction Loop,2,1200,1200,50,400,5,4,70,30
24,Induction Loop,2,1200,1200,50,400,5,5,70,30
25,Induction Loop,2,600,200,75,400,5,0,30,30
26,Induction Loop,2,600,200,75,400,5,0.5,30,30
27,Induction Loop,2,600,200,75,400,5,1,30,30
28,Induction Loop,2,600,200,75,400,5,1.5,30,30
29,Induction Loop,2,600,200,75,400,5,2,30,30
30,Induction Loop,2,600,200,75,400,5,3,30,30
31,Induction Loop,2,600,200,75,400,5,4,30,30
32,Induction Loop,2,600,200,75,400,5,5,30,30
33,Induction Loop,2,1200,400,75,400,5,0,30,30
34,Induction Loop,2,1200,400,75,400,5,0.5,30,30
35,Induction Loop,2,1200,400,75,400,5,1,30,30
36,Induction Loop,2,1200,400,75,400,5,1.5,30,30
37,Induction Loop,2,1200,400,75,400,5,2,30,30
38,Induction Loop,2,1200,400,75,400,5,3,30,30
39,Induction Loop,2,1200,400,75,400,5,4,30,30
40,Induction Loop,2,1200,400,75,400,5,5,30,30
41,Induction Loop,2,1800,600,75,400,5,0,70,30
42,Induction Loop,2,1800,600,75,400,5,0.5,70,30
43,Induction Loop,2,1800,600,75,400,5,1,70,30
44,Induction Loop,2,1800,600,75,400,5,1.5,70,30
45,Induction Loop,2,1800,600,75,400,5,2,70,30
46,Induction Loop,2,1800,600,75,400,5,3,70,30
47,Induction Loop,2,1800,600,75,400,5,4,70,30
48,Induction Loop,2,1800,600,75,400,5,5,70,30
49,Video,2,400,400,50,400,5,0,30,30
50,Video,2,400,400,50,400,5,0.5,30,30
51,Video,2,400,400,50,400,5,1,30,30
52,Video,2,400,400,50,400,5,1.5,30,30
53,Video,2,400,400,50,400,5,2,30,30
54,Video,2,400,400,50,400,5,3,30,30
55,Video,2,400,400,50,400,5,4,30,30
56,Video,2,400,400,50,400,5,5,30,30
57,Video,2,800,800,50,400,5,0,30,30
58,Video,2,800,800,50,400,5,0.5,30,30
59,Video,2,800,800,50,400,5,1,30,30
60,Video,2,800,800,50,400,5,1.5,30,30
61,Video,2,800,800,50,400,5,2,30,30
62,Video,2,800,800,50,400,5,3,30,30
63,Video,2,800,800,50,400,5,4,30,30
64,Video,2,800,800,50,400,5,5,30,30
65,Video,2,1200,1200,50,400,5,0,70,30
66,Video,2,1200,1200,50,400,5,0.5,70,30
67,Video,2,1200,1200,50,400,5,1,70,30
68,Video,2,1200,1200,50,400,5,1.5,70,30
69,Video,2,1200,1200,50,400,5,2,70,30
70,Video,2,1200,1200,50,400,5,3,70,30
71,Video,2,1200,1200,50,400,5,4,70,30
72,Video,2,1200,1200,50,400,5,5,70,30
73,Video,2,600,200,75,400,5,0,30,30
74,Video,2,600,200,75,400,5,0.5,30,30
75,Video,2,600,200,75,400,5,1,30,30
76,Video,2,600,200,75,400,5,1.5,30,30
77,Video,2,600,200,75,400,5,2,30,30
78,Video,2,600,200,75,400,5,3,30,30
79,Video,2,600,200,75,400,5,4,30,30
80,Video,2,600,200,75,400,5,5,30,30
81,Video,2,1200,400,75,400,5,0,30,30
82,Video,2,1200,400,75,400,5,0.5,30,30
83,Video,2,1200,400,75,400,5,1,30,30
84,Video,2,1200,400,75,400,5,1.5,30,30
85,Video,2,1200,400,75,400,5,2,30,30
86,Video,2,1200,400,75,400,5,3,30,30
87,Video,2,1200,400,75,400,5,4,30,30
88,Video,2,1200,400,75,400,5,5,30,30
89,Video,2,1800,600,75,400,5,0,70,30
90,Video,2,1800,600,75,400,5,0.5,70,30
91,Video,2,1800,600,75,400,5,1,70,30
92,Video,2,1800,600,75,400,5,1.5,70,30
93,Video,2,1800,600,75,400,5,2,70,30
94,Video,2,1800,600,75,400,5,3,70,30
95,Video,2,1800,600,75,400,5,4,70,30
96,Video,2,1800,600,75,400,5,5,70,30
