S.No,Det Type,Num Ln,EBT Vol,Option,NBT vol,Per Trucks,Passage Time,MaxGr6,MaxGr4
1,Radar,2,400,1,400,5,1.8,40,30
2,Radar,2,400,1,400,5,2.5,40,30
3,Radar,2,400,1,400,5,3,40,30
4,Radar,2,400,1,400,5,5,40,30
5,Radar,2,800,1,400,5,1.8,40,30
6,Radar,2,800,1,400,5,2.5,40,30
7,Radar,2,800,1,400,5,3,40,30
8,Radar,2,800,1,400,5,5,40,30
9,Radar,2,1200,1,400,5,1.8,70,30
10,Radar,2,1200,1,400,5,2.5,70,30
11,Radar,2,1200,1,400,5,3,70,30
12,Radar,2,1200,1,400,5,5,70,30
13,Radar,2,400,1,400,5,1.1,40,30
14,Radar,2,800,1,400,5,1.1,40,30
15,Radar,2,1200,1,400,5,1.1,70,30
16,Radar,2,400,1,400,5,1.5,40,30
17,Radar,2,800,1,400,5,1.5,40,30
18,Radar,2,1200,1,400,5,1.5,70,30
